NCT Number,Study Title
NCT05913232,Study of Safety and Efficacy of H-1337 in Subjects With Primary Open Angle Glaucoma or Ocular Hypertension
NCT00307918,Acupuncture for Elevated Intraocular Pressure
NCT01175902,Intraocular Pressure and Ocular Perfusion Pressure of Cosopt in Normal Tension Glaucoma
NCT03187418,Treatment Outcomes of MicroPulse Trans-scleral Cyclophotocoagulation in Uncontrolled Glaucoma
NCT00650702,Safety and Efficacy of Punctum Plug Delivery System in Subjects With Open-Angle Glaucoma or Ocular Hypertension
NCT02868502,Different Glaucoma Treatments Effect on Intraocular Pressure Fluctuation With Postural Change in Eyes With Open-angle Glaucoma
NCT01855802,Greek Physicians Perceptions Regarding Generics Prescribing in Glaucoma
NCT00811694,Neurovascular Coupling in Patients With Open Angle Glaucoma
NCT02209961,Combined Ex-PRESS Implantation Alone or With Phacoemulsification for Glaucoma Associated With Cataract
NCT01737853,Comparison of Efficacy & Tolerability Between Ganfort vs Krytantek in Mexican Patients With Primary Open-Angle Glaucoma (POAG) or Ocular Hypertension (OHT)
NCT05439161,XEN Glaucoma Gel Stent Versus Trabeculectomy
NCT00448929,Ologen (OculusGen)-Glaucoma Case Control Trial in India
NCT00468429,Subconjunctival Bevacizumab to Prevent Bleb Failure After Glaucoma Filtration Surgery
NCT01767753,IOP Fluctuations in Patients With Primary Open-angle Glaucoma Before and After Selective Laser Trabeculoplasty
NCT01494753,Pharmacokinetics Efficacy and Safety Assessment of T2345 Compared With Active Comparator in Newly Diagnosed Patients With Open-angle Glaucoma or Ocular Hypertension
NCT02388360,The Impact of Topical Prostaglandins on the Biomechanical Properties of the Cornea in Patients With Open Angle Glaucoma
NCT00404729,Neural Conduction Along the Visual Pathways After Oral Treatment With Citicoline in Patients With Optic Nerve Diseases
NCT03021629,Comparison of Vitamin D Status and Vitamin D Receptor Polymorphisms in Patients With High Myopia and Primary Open-angle Glaucoma
NCT00279253,Effects of Intravenous Clonidine on Ocular Blood Flow and Intraocular Pressure
NCT01682460,Pilot Study on the Use of Artificial Tears to Treat Dry Eye in Glaucoma Patients
NCT04769453,Multicenter Ab-interno Glaucoma Study Investigating Canaloplasty
NCT00503360,Tolerability Safety and Efficacy of SAD448 in Subjects With Ocular Hypertension
NCT00913029,Evaluation of the iStent Versus Two Ocular Hypotensive Agents in Patients With Primary Open-angle Glaucoma (POAG)
NCT00887029,A 12 Week Comparison of DuoTrav and Xalacom in Open-Angle Glaucoma
NCT00481494,Personality Characteristics and Compliance With Antiglaucoma Medication
NCT01798732,PIO Laser Sclerectomy IOP SLT Sclerectomy
NCT03150160,Additive Effect of Twice-daily Brinzolamide 1%/Brimonidine 0.2%Combination as an Adjunctive Therapy to Travoprost in Patients With Normal Tension Glaucoma
NCT04957329,Effect of Benzalkonium Chloride Preserved and Preservative-free Latanoprost Eye Drops on Conjunctival Goblet Cells
NCT05371977,Deep Sclerectomy Versus Trabeculectomy in Normal Tension Glaucoma
NCT01310777,Brinzolamide/Brimonidine Twice a Day (BID) Fixed Combination (FC) vs Brinzolamide BID and Brimonidine BID in Patients With Open Angle Glaucoma or Ocular Hypertension
NCT00967694,Effect of Nitrous Oxide (N2O) on Intraocular Pressure in Healthy Volunteers
NCT03151577,Longitudinal Study on Glaucoma Surgery Using XEN® Gel Stent
NCT00906594,Additive Intra-ocular Pressure Reduction Effect of Fixed Combination of Maleate Timolol 0.5%/Dorzolamide 2% on Monotherapy With Latanoprost in Patients With Elevated Intra-ocular Pressure
NCT00196677,Study of Glaucoma Treatment With Food Additives
NCT02656394,Amelioration of Adverse Ocular Side Effects of Glaucoma Medications in Glaucoma Patients Using Topical GL101
NCT03106532,Evaluation of PHP-201 Ophthalmic Solution in Patients With Normal Tension Glaucoma
NCT04318132,Agreement and Precision Study of the Nidek Mirante
NCT01166594,Use of Bevacizumab in Trabeculectomy Surgery
NCT03402802,Steroid Eyedrop Adherence After Trabeculectomy
NCT01632423,A Study of Lumigan® in Patients With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT)
NCT02628223,180 Degree vs. 360 Degree Selective Laser Trabeculoplasty as Initial Therapy for Glaucoma
NCT04448223,A Clinical Study to Evaluate the Efficacy and Safety of CKD-351
NCT05563623,The Beijing Angle Closure Progression Study
NCT03798223,Optimal Treatment Protocol for Selective Laser Trabeculoplasty
NCT05726058,Ocular Blood Flow Imaging for Glaucoma Assessment
NCT02173223,A Study to Assess the Effect of Rho-Kinase Inhibitor AR-12286 Ophthalmic Solution 0.5% and 0.7% in Patients With Uncontrolled Advanced Glaucoma With Prior Failed Trabeculectomy or Tube Shunt
NCT00834223,A Prospective Multicenter Open-label Safety and Preliminary Efficacy Study of the Surgical Implantation of OPKO's Glaucoma Drainage Device (AquashuntTM) in Patients With Refractory Chronic Forms of Open Angle Glaucoma (OAG)
NCT04943458,Application of Innovative Non-Invasive Neuroprotective Technology in Cardiac Surgery and Ophthalmology
NCT00945958,Evaluation of Safety of SPARC0913 in Open Angle Glaucoma or Ocular Hypertension
NCT02862158,Frequency Doubling Technology (FDT) Mobile Visual Field Testing
NCT05625958,Clinical Study Evaluating the Efficacy and Safety of CID v2.2 in Glaucoma Surgery
NCT01471158,Patient Preference Comparison of AZARGA Versus COSOPT in Patients With Glaucoma
NCT00314158,A Study of a Glaucoma Therapy to Treat Open-Angle Glaucoma or Ocular Hypertension
NCT04254458,Corneal Densitometry in Acute Primary Angle Closure Glaucoma
NCT03605823,Pars Plana Ex-Press Shunt in Vitrectomized Eyes
NCT04000828,Comparison of Sensimed Triggerfish (TF) 24 Hour Monitoring of the Eye in Glaucoma Patients Before and After Trabeculectomy
NCT05943184,Cognitive Behavioral Nursing Model
NCT03138928,An Innovation in Glaucoma Surgery: XEN45 Gel Stent Implantation
NCT00047528,Phase 3 Study to Evaluate IOP Lowering Therapy in Open Angle Glaucoma and Ocular Hypertension C-02-41
NCT01301378,Patch Graft Material Safety and Effectiveness in Covering Glaucoma Drainage Device Tube
NCT05940623,Impact of Home Intraocular Pressure Telemonitoring on Intraocular Pressure Control and Glaucoma Progression
NCT00524758,Oculusgen (Ologen) Glaucoma MMC Control in Estonia
NCT06012058,Glaucoma Screening With Artificial Intelligence
NCT05557058,GORE Glaucoma Drainage Implant Clinical Study
NCT00773123,Efficacy of Retinal Nerve Fiber Layer (RNFL) / Ganglion Cell Layer Thickness Ratio by RT-View Utilizing Spectral -Domain Technology as a Diagnostic Predictor of Glaucoma.
NCT03391518,Evaluation of Blood Flow Regulation With Laser Speckle Flowgraphy
NCT04949802,Glaucoma Surgery Using the ViaLase Laser System
NCT02945202,Influence of Trabeculectomy and Phaco-trabeculectomy on Corneal Astigmatism
NCT01746602,Effect of Topical Glaucoma Therapy on Tear Film Stability in Healthy Subjects
NCT03483402,Micropulse Laser Trabeculoplasty as Adjunctive Treatment in Patients With Pseudoexfoliation Glaucoma
NCT00863018,Corneal Endothelium After Glaucoma Surgery
NCT04396002,Glaucoma Visual Field Loss and Their Association With Life Space in Older Adults
NCT02731118,Antisecretory Factor (AF) Effects on Intraocular-pressure
NCT03927118,Effect of Dexamethasone Implant on Optic Disc
NCT01731002,Study Comparing the Safety and Efficacy of AR-13324 to Latanoprost in Patients With Elevated Intraocular Pressure
NCT01272102,Macular Ganglion Cell Analysis (GCA) of the Cirrus HD-OCT in Glaucoma
NCT03525132,Study of the Retinal Vascularization by Laser Doppler Velocimetry Coupled With an Adaptive Optics Camera ( AO-LDV)
NCT00347802,Diurnal Curves With Bimatoprost 0.03% Versus Travoprost 0.004%
NCT01461278,Multicenter Investigation of the Glaukos® Suprachoroidal Stent Model G3 In Conjunction With Cataract Surgery
NCT03216902,A Phase IIb Safety and Efficacy Study of DE-126 Ophthalmic Solution in Primary Open-Angle Glaucoma or Ocular Hypertension- Angel Study
NCT01229202,Use of Bevacizumab to Modulate the Outcomes of Trabeculectomy Surgery
NCT01806402,Evaluation of OCT Measurements
NCT02088528,The Ghana Primary Tube Versus Trabeculectomy Study
NCT01987323,Safety and Efficacy of Liposomal Latanoprost in Ocular Hypertension
NCT00350428,Laser Iridotomy Versus Phacoemulsification in Acute Angle Closure
NCT05449041,Bulbicam Validation on Glaucoma- and Cataract Patients
NCT02665884,Diurnal Fluctuations of Intraocular Pressure in EX-Press Valve Blebs in Glaucoma Patients
NCT02700984,A Study to Assess Long-Term Safety of the CyPass Micro-Stent in Patients Completing the COMPASS Trial
NCT04737928,Prospective Single Center Switching Study of 0.0015% Tafluprost Ophthalmic Solution in Primary Open-angle Glaucoma and Ocular Hypertension Patients With Corneal Disorders (Switching From 0.005% Latanoprost Ophthalmic Solution)
NCT00869141,Earlier Intraocular Pressure Control After Ahmed Glaucoma Valve Implantation for Glaucoma
NCT03194828,Real-time Glaucoma Medication Adherence
NCT03604328,Safety and Tolerability of a Prostaglandin Ocular Implant for Treatment of Open Angle Glaucoma
NCT00346541,Role of Polymorphisms in the IL-1 Gene Cluster
NCT02604953,Comparing SD-tVEP and PERG Tests Between Patients With Glaucoma Patients With High Eye Pressure and Normal Patients
NCT01292460,Tafluprost-Timolol Preservative-free Fixed Dose Combination (FDC) Superiority Study Against Monotherapies
NCT02982629,Improving Access to Eye Care in Glaucoma Patients
NCT00273429,Cosopt Versus Xalatan
NCT00680329,Glaucoma Adherence Study Spain
NCT05451329,A Phase 2 Double-masked Study of VVN539 in Subjects With Elevated Intraocular Pressure
NCT03145129,PAIR Study-PAP And IOP Relationship: Study 2
NCT05446077,Quantitatively Analysis of Fundus Structure Characteristics in Glaucoma Following Congenital Cataract Surgery
NCT00193960,The Results of Ahmed Valve Operations
NCT01347229,SENSIMED Triggerfish® in Sitting and Supine Position
NCT01217853,24h Continuous Intraocular Pressure (IOP) Monitoring vs Goldmann Applanation Tonometry
NCT03886753,Pharmacokinetic (PK) and Pharmacodynamics (PD) Study of Ilera Specific Products
NCT02822729,A Long-term Study of DE-117 Ophthalmic Solution Monotherapy and Concomitant Use of DE-117 Ophthalmic Solution With Timolol Ophthalmic Solution in Patients With OAG or OH: RENGE Study
NCT03450629,Evaluation of Safety and Efficacy of PDP-716
NCT04352660,Subconjunctival Versus Direct Mitomycin C in Trabeculectomy
NCT01136460,Genetic Testing in Primary Congenital Glaucoma Patients
NCT00061529,A Phase III Study of Brimonidine Tartrate Ophthalmic Solution 0.15% in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT00351429,Study of PGA Suture in Ophthalmology
NCT01517477,One Two or Three iStents for the Reduction of Intraocular Pressure in Open-angle Glaucoma Subjects
NCT01711177,Effect of Travoprost 0.004% on Retinal Oximetry in Primary Open Angle Glaucoma
NCT00799994,Does Lowering Eye Pressure Affect the Results Obtained From Objective Visual Field Testing?
NCT05180994,Topical Infliximab in Eyes With Penetrating Keratoplasty
NCT02228577,Safety and Performance Study of the CyPass System Applier Model 241
NCT00832377,COSOPT (Timolol/Dorzolamide Combination) Normal Tension Glaucoma Study (MK0507A-161)(COMPLETED)
NCT02090777,Health Coaching for Glaucoma Patients
NCT02246777,Alcon® Ex-PRESS® Glaucoma Filtration Device in Japanese Patients
NCT02141594,Posterior Pole Asymmetry Analysis (PPAA) for Early Glaucoma
NCT00051194,A 6-week Safety & Efficacy Study of Combination Intraocular Pressure-lowering Therapy in Patients With Open-angle Glaucoma or Ocular Hypertension
NCT05206877,Topical Insulin for Glaucoma
NCT00690794,Travatan Z in Ocular Surface Health in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT01342094,DE-111 Against Timolol Ophthalmic Solution 0.5%
NCT02356094,Posterior Cornea in Primary Open Angle Glaucoma
NCT00798694,How Similar Are Changes to the Surface of the Eye When Two Different Glaucoma Eye Drops Are Used?
NCT06071494,The Effect Of Tropical Fruits In Patients With Primary Glaucoma
NCT03858894,Study Assessing the Safety and Efficacy of DE-117 Ophthalmic Solution Once Daily and Twice Daily in Subjects With Primary Open-Angle Glaucoma SPECTRUM 6
NCT04647929,Comparison of Surgical Treatment Options for Primary Congenital and Developmental Glaucomas
NCT00317577,Study of Medical Treatment of Low-Pressure (Normal Tension) Glaucoma
NCT00551902,Effect of an Anterior Chamber Infusion System on Trabeculectomy Outcomes
NCT05925894,Efficacy Mydrane ® for Cataract Surgery in Patients With Concomitant Primary Open Angle Glaucoma.
NCT04433702,Effect of Negative Pressure on Pattern Electroretinography Readings
NCT00330577,24-Hour Intraocular Pressure (IOP) And Blood Pressure Control In Glaucoma And Ocular Hypertension Patients
NCT04141891,Advancing Understanding of Transportation Options
NCT01568008,Observational Study of Lumigan® 0.01% for Treatment of Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT)
NCT04242108,Diagnostic Performance of Deep Learning for Angle Closure
NCT02419508,SIMBRINZA® Suspension BID as an Adjunctive to Prostaglandin Analogue (PGA)
NCT00143208,Evaluation Of Intraocular Pressure Lowering-Effect Of Xalacom In Patients With Poag Or Oh.
NCT00430209,Neurovascular Coupling in Eyes of Glaucoma Patients
NCT05790408,Anterior-segment OCT (AS-OCT) and Intraoperative OCT (iOCT) for Trans- Conjunctival Needle Revision (TCNR)
NCT00485108,Anti-inflammatory Therapy Following Selective Laser Trabeculoplasty
NCT03560609,Optic Nerve Head Structural Response to IOP Elevation in Patients With Keratoconus
NCT00481208,Diurnal Intraocular Pressure and Peripapillary Retinal Blood Flow in Medically Controlled Open-Angle Glaucoma
NCT00901108,Trabectome Versus Trabeculectomy With Mitomycin C in Patients With Open Angle Glaucoma
NCT02379208,Evaluation of Rate of Progression With Perimetry in Newly Diagnosed Open Angle Glaucoma
NCT05626491,Electrical Stimulation for the Treatment of Glaucoma
NCT03631108,Feasibility Study and Preliminary Application Study on Iris OCTA
NCT04271709,Manhattan Vision Screening and Follow-Up Study (NYC-SIGHT)
NCT02207491,Double-masked Study of AR-13324 Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension
NCT01217606,Safety and Efficacy of Triple Combination Therapy in Patients With Primary Open-Angle Glaucoma or Ocular Hypertension
NCT03387306,Serum Bilirubin Levels in Normal-tension Glaucoma
NCT01125306,Efficiency of XAL-EASE Device in Glaucoma and/or Ocular Hypertension (OHT) Patients Treated With Xalatan or Xalacom
NCT05999006,Safety and Feasibility of the ELIOS System in POAG Patients
NCT00652106,Safety and Efficacy Study of Brimonidine/Timolol Fixed Combination in Patients With Glaucoma or Ocular Hypertension
NCT05695027,Nicotinamide and Pyruvate for Open Angle Glaucoma: A Randomized Clinical Study
NCT02017327,Safety and Efficacy Assessment of Monoprost® in Comparison With Lumigan® 0.01 % and Lumigan® 0.03% Unit Dose
NCT00803504,Correlation of Optic Disk Morphology and Ocular Perfusion Parameters in Patients With Primary Open Angle Glaucoma
NCT04440527,Intraocular Pressure After Preserflo / Innfocus Microshunt Implantation vs Trabeculectomy
NCT05022004,A Therapeutic Equivalence Study in Subjects With Primary Open Angle Glaucoma or Ocular Hypertension
NCT01297517,Efficacy and Safety Study of Brinzolamide 1%/Brimonidine 0.2% vs. Brinzolamide 1% and Brimonidine 0.2%
NCT03931317,Study Comparing the Effects of Latanoprostene Bunod and Timolol on Retinal Blood Vessel Density and Visual Acuity
NCT05566626,Retinal Oxygenation Estimation Trial With Mantis Photonics Hyperspectral Camera
NCT04676126,Augmented Macular Pigment-containing Nutraceutical and Central Visual Function
NCT02867527,Prospective Constitution of Database Gathering Data of Patients Suffering From Glaucoma Followed at University Hospital of Grenoble
NCT01749904,Comparing Safety and Efficacy of BOL-303259-X With Timolol Maleate in Subjects With Open-Angle Glaucoma or Ocular Hypertension
NCT00538304,A Study of the Safety and Efficacy of Bimatoprost in Patients With Glaucoma or Ocular Hypertension
NCT00069706,Phase II Safety and Efficacy Study to Evaluate a Glaucoma Therapy in Open-angle Glaucoma or Ocular Hypertension Patients
NCT01254604,Preservative-Free Tafluprost (MK-2452) for the Treatment of Open-Angle Glaucoma or Ocular Hypertension (MK-2452-002)
NCT01346904,a 3.0T Magnetic Resonance Imaging Study
NCT00828906,DuoTrav® Eye Drops As Replacement Therapy Program
NCT06135727,Screening Protocol
NCT00372827,Study of Brinzolamide and Timolol When Added to Travoprost in Primary Open-angle Glaucoma or Ocular Hypertension
NCT05111106,Symfony Intraocular Lens Retrospective Chart Review
NCT01927406,The Secondary Beneficial Effects of Prostaglandin Analog Treatment in Thyroid Eye Disease Patients.
NCT00706927,Effect of Xalacom® (Latanoprost/Timolol) and Combigan® (Brimonidine/Timolol) Fixed Combination on Intraocular Pressure and Ocular Blood Flow in Patients With Primary Open Angle Glaucoma or Ocular Hypertension
NCT04890106,Bioequivalence Study With Clinical Endpoint Comparing Bimatoprost Ophthalmic Solution 0.01% to LUMIGAN® In The Treatment of Chronic Open-Angle Glaucoma
NCT05042609,A Study of TRS01 in Subjects With Active Non-infectious Anterior Uveitis Including Subjects With Uveitic Glaucoma
NCT04857827,A Study to Evaluate Safety and Tolerability of QLS-101 in NTG
NCT04920227,Comparation of CLASS Combined With Phacoemulsification and CLASS Alone in the Treatment of Primary Open Angle Glaucoma
NCT01253109,Continuous Intraocular Pressure (IOP) Monitoring in Pigmentary Dispersion Syndrome and Pigmentary Glaucoma Patients
NCT01915706,The Effect of Scheduled Ripcord Removal on the Outcomes of Baerveldt 350 Implants
NCT02526706,Using a Type of Blue Dye to Observe Bleb Function During Cataract Surgery
NCT04773106,Long-term Safety and Performance of the ARGOS-SC Suprachoroidal Pressure Sensor System in Patients With Glaucoma Underwent Non-penetrating Glaucoma Surgery
NCT01862627,Macular Retinoschisis and Detachment Associated With Glaucomatous Optic Neuropathy
NCT03445806,IOP Monitoring After Trabeculectomy Using iCare Home
NCT05527106,Evaluation of the Effect of Citicoline and Docosahexaenoic Acid (DHA) on the Visual Function of Patients With Glaucoma
NCT02628327,Factors Influencing Patient Satisfaction in a Glaucoma Population
NCT01255306,The Influence of Silicone Oil on Nerve Fiber Layer Thickness After Pars Plana Vitrectomy
NCT00238563,Post-Operative Sub-Tenon Kenalog in Glaucoma Filtering Surgery
NCT02776449,Pressure Difference Between Brain and Eye: a Possible Cause to Normal Tension Glaucoma.
NCT00140049,A 12week Randomized Evaluator-Masked Parallel Group Comparing Evening Dosing Of Xalacom Vs Cosopt In Subj W/ Glaucoma
NCT03750149,Reading Analysis in Ophthalmologic Patients
NCT02742649,A Study to Evaluate Efficacy and Safety of a Fixed Combination Ocular Insert in Participants With Open-angle Glaucoma or Ocular Hypertension
NCT04178863,CATS Tonometer IOP Reduction Latanoprost Verses Timolol
NCT00744705,Normative Database of the Retinal Nerve Fiber Layer Thickness Measured by the Cirrus HD OCT in Asians
NCT03691649,A Phase III Study Assessing the Efficacy and Safety of DE-117 Ophthalmic Solution Compared With Timolol Maleate Ophthalmic Solution 0.5% in Subjects With Glaucoma or Ocular Hypertension - Spectrum 3 Study
NCT03014349,Water Drinking Test and Its Reproducibility in Goldmann Applanation Tonometry and Pneumatic Tonometry
NCT02990663,The Effect of Antihypertensive Medication Timing on Morbidity and Mortality
NCT06054763,Buyang Huanwu Decoction and Normal Tension Glaucoma
NCT01452009,Three Month Safety and Efficacy Study of TRAVATAN® Versus Travoprost Ophthalmic Solution 0.004%
NCT00338208,Adult Providing Access to the Visual Environment (PAVE) - Glaucoma Pilot
NCT03233308,Study of Netarsudil Ophthalmic Solution in Subjects With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT)
NCT04610008,Optic Nerve Head Shape as a Predictor of the Formation of Acquired Pits of the Optic Nerve (APONs)
NCT05539508,Role of Peripheral Vision in Scene Perception (PERISCE)
NCT02174991,A Compassionate Case Study to Assess the Hypotensive Efficacy of Rho-Kinase Inhibitor AR-12286 Ophthalmic Solution 0.5% and 0.7% in Glaucoma Patients With Uncontrolled Intraocular Pressure to Avoid Surgical Intervention
NCT05564091,Cataract Surgery in Conjunction With Ab-interno Canaloplasty Compared to Cataract Surgery Only in Patients With Mild to Moderate Primary Open-Angle Glaucoma
NCT01564108,The LIMO Study Lucentis for Treatment of Uveitic Patients With Refractory Cystoid Macular Oedema
NCT05115708,Kahook Dual Blade Ab-interno Trabeculotomy Versus ab Externo Viscotrabeculotomy in Primary Congenital Glaucoma
NCT01719809,An Evaluation of the Ability to Train Established Glaucoma Patients Who Have Difficulty in Drop Instillation
NCT01188291,Retinal Nerve Fiber Layer Thickness Measurements in Patients With Sleep Apnea Syndrome
NCT01262209,Clinical Effectiveness of Low Vision Rehabilitation in Glaucoma Patients
NCT01227291,SYL040012. Tolerance and Effect on Intraocular Pressure in Subjects With Intraocular Pressure (IOP) >= 21 mm Hg
NCT04495491,Predicting the Effect of Laser Peripheral Iridotomy
NCT04630808,MRCT Evaluating NCX 470 vs. Latanoprost in Subjects With Open-Angle Glaucoma or Ocular Hypertension
NCT01291108,Safety and Efficacy of AGN-210669 Ophthalmic Solution Compared With Bimatoprost Ophthalmic Solution in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT02828891,Analysis of Translaminar Pressure Gradient Using Noninvasive Cerebrospinal Fluid Pressure Monitoring
NCT02765308,Aqueous Humor Dynamics and Hypertensive Uveitis
NCT00966108,SENSIMED Triggerfish Discomfort During IOP Monitoring
NCT01881126,An Efficacy and Safety Study of Bimatoprost 0.01% Alone Compared With Travoprost 0.004% and Timolol 0.5% in Subjects With Glaucoma or Ocular Hypertension
NCT04622605,Hydrus Microstent and Lens Extraction for the Treatment of Primary Angle-Closure Glaucoma
NCT02988752,Comparison Between an Electronic Mobile Device and Optical Coherence Tomography to Determine Cup-to-disc Ratio
NCT05690152,Persistence of Glaucoma Patients With Web-Browser-Based Visual Field Test
NCT01687426,Study Evaluating the Safety and Intraocular Pressure (IOP) Lowering Response of Brimonidine Tartrate Ophthalmic Solution in Subjects With Open Angle Glaucoma or Ocular Hypertension
NCT04342052,Glaucoma After Congenital Cataract Surgery
NCT05626426,Electrical Stimulation for the Treatment of Optic Neuropathies
NCT03965052,Safety and Tolerability of the Ophthalmic Solution PRO-179 Compared With Travatan®
NCT02531152,28-Day Repeated Topical Study to Evaluate the Safety and Activity of 5 Escalating Dose Levels of SAR366234 and One Dose of Latanoprost in Patients With Open Angle Glaucoma or Ocular Hypertension
NCT05231252,The Effect of Direct Cyclophotocoagulation Using Endolaser in Silicon Induced Glaucoma: a Pilot Study.
NCT02622191,Analysis of the Eye in Patients With Primary Open-Angle Glaucoma and a Visual Field Defect in One Eye
NCT01020071,Prospective Evaluation of the Efficacy of Pascal Laser Iridotomy and Pascal Laser Peripheral Iridoplasty: A Pilot Study
NCT02121171,Combined Trab+Trab Versus Combined Trab+Trab With Subconjunctival Implantation of Ologen for Primary Congenital Glaucoma
NCT00076271,Evaluation and Treatment of Pediatric Developmental and Genetic Eye Diseases
NCT01051739,Variability in Perimetry Study
NCT01284439,Hydroxypropylmethylcellulose 0.3% and Sodium Hyaluronate 0.18% for Ocular Surface Disease in Glaucoma
NCT02612571,Comparing Rates of Glaucoma in Professional Wind Versus Non-Wind Instrument Players
NCT00867971,Is Recombinant Growth Hormone Therapy Associated With Increased Intraoccular Pressure?
NCT01461291,Multicenter Study Using Glaukos® Trabecular Micro-Bypass Stent Model GTS400 Using the G2-M-IS Injector System in Conjunction With Cataract Surgery
NCT05236439,Study of a Cilioscleral Interposition Device (CID) SV22 in Patients With Primary Open Angle Glaucoma
NCT03529591,Is the Reduction in IOP After Treatment of 180 Degrees Equivalent to Treatment of 360 Degrees With SLT?
NCT05583591,Prospective Randomized Controlled Study Comparing Combined Phacoemulsification With iStent Inject W Versus Hydrus for Mild to Moderate Open Angle Glaucoma
NCT00347191,Relationship Between Central Corneal Thickness and Intraocular Pressure Measures Instruments.
NCT01064505,Safety Study of a Single IVT Injection of QPI-1007 in Chronic Optic Nerve Atrophy and Recent Onset NAION Patients
NCT05160805,A Phase 1b Study of ONL1204 Ophthalmic Solution in Patients With Progressing Open Angle Glaucoma
NCT01300949,Spaeth/Richman Contrast Sensitivity Test
NCT04161963,Incidence of Sub-clinical Cystoid Macular Edema After Cataract Surgery
NCT00230763,Determination Of Predictive Factors Allowing To An Additional 10% Reduction Of Intra-Ocular Pressure
NCT01384149,EXTERNAL SLT Treatment in Patients With Uncontrolled OPEN ANGLE GLAUCOMA
NCT04761705,Safety and Efficacy Study of JV-GL1 in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT02653963,Triamcinolone for Ahmed Glaucoma Valve
NCT01802463,Study on Ocular Blood Flow and the Orbital Cerebrospinal Fluid Pressure in Glaucoma
NCT00000149,Collaborative Initial Glaucoma Treatment Study (CIGTS)
NCT03318549,Evaluation of Visual and Task Performance
NCT02972749,Modifiable Factors and Glaucoma - RCT
NCT05044793,A Clinical Study To Assess The Safety And Effectiveness Of The OMNI® Surgical System
NCT06030193,Qlaris Phase 2 Study in NTG Patients
NCT01281020,Adherence With Fixed Versus Unfixed Glaucoma Therapy
NCT01114893,Travoprost Five Day Posology Study
NCT01297920,Three Month Efficacy/Safety Study With a 3-Month Safety Extension of Brinzolamide 1%/Brimonidine 0.2% vs. Brinzolamide 1% or Brimonidine 0.2%
NCT04024293,Intraocular Pressure Measured by a Novel Sensing Contact Lens Versus Tonometry
NCT02006693,Evaluation of the XEN Implant in Moderate Primary Open Angle Glaucoma (POAG) Participants
NCT03478293,iStent Inject in OAG Subjects on 2 Pre-op Topical Ocular Hypotensive Medications
NCT00772993,Efficacy of Retinal Nerve Fiber Layer (RNFL) / Retinal Thickness Ratio by Cirrus OCT Utilizing Spectral -Domain Technology as a Diagnostic Predictor of Glaucoma
NCT04245163,Development and Implementation of an Educational Program to Enhance Adherence to Glaucoma Treatment
NCT01931904,Eye Pressure Lowering Surgery
NCT00108017,Comparison of the Effects of Two Glaucoma Drugs Over 24 Hours (0507A-137)(COMPLETED)
NCT02154217,Comparison of the Effects of Bimatoprost and a Fixed Combination of Latanoprost and Timolol on 24-hour Blood and Ocular Perfusion Pressures
NCT01774227,the Pops-titration Versus the Slow-coagulation Cyclophotocoagulation in Treatment of Refractory Glaucoma
NCT04075227,Topical 0.2% Loteprednol Etabonate vs. Topical 0.1% Dexamethasone in Impending Recurrent Pterygium
NCT02873806,Two Trabecular Micro-bypass Stents & Postoperative Travoprost to Treat Glaucoma Subjects on Two Hypotensive Agents
NCT05352906,Accuracy of Handheld and Non-contact Tonometry
NCT00761709,Safety and Intraocular Pressure (IOP)-Lowering Efficacy of AL-39256 in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT02624427,Goldmann Applanation Tonometry Dynamic Contour Tonometry and Corvis ST Tonometer
NCT05338606,Expanded Access to Bimatoprost (Durysta)
NCT05315206,Multimodal Morpho-functional Study in Glaucoma Patients-Citicoline Oral Solution
NCT00047606,Phase 4 Study Comparing IOP Lowering in OAG or OH in Caucasian or Japanese Subjects C-02-32
NCT01965106,Phase IIA Double-Masked Randomized Sham-Controlled Trial of QPI-1007 Delivered by a Single Intravitreal Injection to Subjects With Acute Primary Angle-Closure Glaucoma (APACG)
NCT02914509,Phase 3 Study Evaluating Safety and Efficacy of OTX-TP in Subjects With OAG or OHT
NCT04035239,Retinal Effects of Balance Goggles System in Glaucoma Balance Goggles System (BGS) in Patients With Glaucoma
NCT05801471,Clinical Evaluation of Visual Field Change in Glaucoma: an Assessment of Different Models of Progression
NCT05902871,Direct Selective Laser Trabeculoplasty in a Ethnic Chinese Population
NCT01493271,A Study of RO5093151 in Patients With Ocular Hypertension Or Open Angle Glaucoma
NCT01087671,Ocular Signs and Symptoms in Glaucoma Patients Switched From Latanoprost to Preservative Free Tafluprost Eye Drops
NCT01062971,Clinical Study of A Fixed Combination of Timolol-Brimonidine-Dorzolamide
NCT02730871,Safety and Efficacy of SIMBRINZA® BID as an Adjunctive to DUOTRAV®
NCT02003391,Efficacy of Travoprost/Timolol for Uncontrolled Intraocular Pressure
